name,admin_0,admin_1,admin_2,name_raw,is_admin_0_union
Battery Park City,Battery Park City,Battery Park City,Battery Park City,Battery Park City,False
Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,False
Chinatown,Chinatown,Chinatown,Chinatown,Chinatown,False
Civic Center,Civic Center,Civic Center,Civic Center,Civic Center,False
Columbia University Sporting Complex,Inwood,Inwood,Columbia University Sporting Complex,Columbia University Sporting Complex (INWOOD),False
Columbia University,Morningside Heights,Morningside Heights,Columbia University,Columbia University (MORNINGSIDE HEIGHTS),False
Con Edison East River Generating Station,Con Edison East River Generating Station,Con Edison East River Generating Station,Con Edison East River Generating Station,Con Edison East River Generating Station,False
Downtown Helipad,Financial District,Financial District,Downtown Helipad,Downtown Helipad (Financial District),False
DSNY Garage M3,Lower East Side,Lower East Side,DSNY Garage M3,DSNY Garage M3 (Lower East Side),False
DSNY 91st St. Marine Transfer Station,Upper East Side,Yorkville,DSNY 91st St. Marine Transfer Station,DSNY 91st St. Marine Transfer Station (YORKVILLE(UPPER EAST SIDE)),False
East Harlem,East Harlem,East Harlem,East Harlem,East Harlem,False
East Village,East Village,East Village,East Village,East Village,False
Ellis Island,Ellis Island,Ellis Island,Ellis Island,Ellis Island,False
FDNY EMS Station 4/ Division 1,Lower East Side,Lower East Side,FDNY EMS Station 4/ Division 1,FDNY EMS Station 4/ Division 1 (Lower East Side),False
FDNY Fire Academy,Randall'S Island,Randall'S Island,FDNY Fire Academy,FDNY Fire Academy (RANDALL'S ISLAND),False
FDNY Marine 1,Greenwich Village,Meatpacking District,FDNY Marine 1,FDNY Marine 1 (Meatpacking District (WEST VILLAGE(GREENWICH VILLAGE))),False
Financial District,Financial District,Financial District,Financial District,Financial District,False
Flatiron District,Flatiron District,Flatiron District,Flatiron District,Flatiron District,False
Henry Hudson Bridge TBTA Building,Inwood,Inwood,Henry Hudson Bridge TBTA Building,Henry Hudson Bridge TBTA Building (INWOOD),False
Governors Island,Governors Island,Governors Island,Governors Island,Governors Island,False
Gramercy,Gramercy,Gramercy,Gramercy,Gramercy,False
